File_A,File_B,Note,DecisionTime,SpeakerGenre,Sentence,freq,Cue,A Gain,B Gain,NumberOfPlaysSoundA,NumberOfPlaysSoundB,Age,Sex,Completed
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/-10_F2.wav,-4.48,6.483,F,2,4000,0.6,0,-10,1,1,,,
experiment data/SoundsForExperiment/0_F1.wav,experiment data/SoundsForExperiment/-5_F1.wav,-0.09999999999999964,5.814,F,1,4000,0.6,0,-5,1,1,,,
experiment data/SoundsForExperiment/0_M6.wav,experiment data/SoundsForExperiment/-5_M6.wav,-1.5600000000000005,6.273,M,6,4000,0.6,0,-5,1,1,,,
experiment data/SoundsForExperiment/-10_M6.wav,experiment data/SoundsForExperiment/0_M6.wav,2.9499999999999993,6.761,M,6,4000,0.6,-10,0,1,1,,,
experiment data/SoundsForExperiment/10_M3.wav,experiment data/SoundsForExperiment/0_M3.wav,-3.4699999999999998,5.036,M,3,4000,0.6,10,0,1,1,,,
experiment data/SoundsForExperiment/-10_F3.wav,experiment data/SoundsForExperiment/10_F3.wav,9.510000000000002,5.269,F,3,4000,0.6,-10,10,1,1,,,
experiment data/SoundsForExperiment/0_M1.wav,experiment data/SoundsForExperiment/5_M1.wav,-0.07000000000000028,19.051,M,1,4000,0.6,0,5,3,3,,,
experiment data/SoundsForExperiment/0_M1.wav,experiment data/SoundsForExperiment/-5_M1.wav,-1.5600000000000005,6.659,M,1,4000,0.6,0,-5,1,1,,,
experiment data/SoundsForExperiment/-10_M2.wav,experiment data/SoundsForExperiment/0_M2.wav,1.9800000000000004,5.502,M,2,4000,0.6,-10,0,1,1,,,
experiment data/SoundsForExperiment/-5_M4.wav,experiment data/SoundsForExperiment/10_M4.wav,8.82,6.866,M,4,4000,0.6,-5,10,1,1,,,
experiment data/SoundsForExperiment/-5_F4.wav,experiment data/SoundsForExperiment/5_F4.wav,5.73,5.825,F,4,4000,0.6,-5,5,1,1,,,
experiment data/SoundsForExperiment/0_M3.wav,experiment data/SoundsForExperiment/5_M3.wav,4.3100000000000005,5.121,M,3,4000,0.6,0,5,1,1,,,
experiment data/SoundsForExperiment/-10_M4.wav,experiment data/SoundsForExperiment/-5_M4.wav,1.9800000000000004,6.126,M,4,4000,0.6,-10,-5,1,1,,,
